商品编号,商品类别,颜色,S,M,L,XL,XXL,库存数,标准吊牌价,备注,入库时间
65100,中裙,[R61]森林绿,5,12,17,0,0,34,402,,
65101,中裙,[R71]靛蓝,0,5,4,0,0,9,402,,
65102,短裙,[R07]黑色,14,13,12,1,0,40,447,,
65103,半裙,[R07]黑色,14,22,16,0,0,52,449,,
65104,半裙,[R34]彩蓝色,10,27,24,0,0,61,449,,
65105,半裙,[R59]柠檬黄,16,27,34,0,0,77,449,,
65106,短裙,[R056]草绿,33,36,37,7,0,113,499,,
65107,短裙,[R31]蓝色,27,28,32,3,0,90,499,,
65108,半裙,[R01]白色,24,25,29,6,0,84,509,,
65109,半裙,[R29]黄色,15,27,28,0,0,70,509,,
65110,短裤,[R59]柠檬黄,17,16,16,4,0,53,402,,
65111,短裤,[R74]果绿,17,14,16,1,0,48,402,,
65112,短裤,[R43]神秘黑,5,12,20,5,0,42,387,,
65113,短裙,[R62]丁香紫,2,5,8,1,0,16,402,,
65114,短裙,[R32]宝石蓝,42,51,35,9,0,137,402,,
65115,短裙,[R61]森林绿,26,12,18,1,0,57,402,,
65116,短裤,[R46]优雅白,0,0,2,0,0,2,399,,
65117,短裤,[R50]天空蓝,0,2,4,1,0,7,399,,
65118,裤裙,[R07]黑色,9,16,18,0,0,43,399,,
65119,裤裙,[R29]黄色,9,14,18,0,0,41,399,,
